,Country,1990,2000,2005,2015,2020,2022,2023,2023 %
,unit,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,% World Tot
67,Faroes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Fiji,1.02,1.46,1.73,1.62,1.93,2.14,2.21,0.01
69,Finland,56.22,57.53,58.24,45.97,39.46,36.15,32.27,0.08
70,France and Monaco,385.27,401.21,408.17,332.97,287.32,310.46,282.43,0.72
71,French Guiana,0.26,0.17,0.2,0.35,0.36,0.36,0.38,0.0
72,French Polynesia,0.85,0.72,0.94,1.01,1.1,1.22,1.26,0.0
73,Gabon,6.17,6.6,6.39,6.44,5.31,5.4,4.93,0.01
74,Georgia,34.49,5.21,4.98,10.65,11.55,12.63,12.86,0.03
75,Germany,1013.03,871.74,842.1,785.39,642.55,659.5,582.95,1.49
76,Ghana,3.13,6.09,7.19,15.79,22.15,24.79,24.16,0.06
77,Gibraltar,0.14,0.34,0.41,0.59,0.64,0.67,0.69,0.0
78,Greece,77.9,96.05,103.62,69.45,52.37,54.93,51.67,0.13
79,Greenland,0.0,0.0,0.62,0.53,0.53,0.58,0.58,0.0
80,Grenada,0.05,0.06,0.07,0.12,0.12,0.14,0.14,0.0
81,Guadeloupe,0.69,0.62,0.68,1.12,1.11,1.11,1.17,0.0
82,Guatemala,3.91,9.69,11.77,16.97,17.64,19.98,21.35,0.05
83,Guinea,0.95,1.47,1.75,2.85,3.6,3.81,3.72,0.01
84,Guinea-Bissau,0.17,0.2,0.28,0.36,0.34,0.36,0.35,0.0
85,Guyana,1.17,1.66,1.48,2.07,3.33,3.32,3.3,0.01
86,Haiti,1.14,1.69,1.83,3.49,3.46,3.39,3.54,0.01
87,Honduras,2.36,5.0,7.09,10.53,8.81,10.33,10.95,0.03
88,Hong Kong,35.04,41.9,43.01,44.25,35.16,32.63,34.67,0.09
89,Hungary,72.32,59.48,61.2,47.54,49.0,47.6,43.83,0.11
90,Iceland,2.34,2.85,3.13,3.63,3.03,3.25,3.09,0.01
91,India,600.69,995.65,1216.53,2260.13,2318.95,2740.82,2955.18,7.57
92,Indonesia,161.78,299.09,362.61,512.41,594.26,656.67,674.54,1.73
93,International Aviation,260.69,355.32,429.02,536.21,298.66,411.47,491.63,1.26
94,International Shipping,371.26,503.29,572.58,662.65,633.55,698.61,706.32,1.81
95,Iran,208.46,353.93,468.98,629.34,712.36,760.55,778.8,2.0
96,Iraq,69.44,88.81,87.24,137.9,170.45,190.48,192.91,0.49
97,Ireland,32.34,43.82,47.07,37.65,33.5,34.73,32.48,0.08
98,"Israel and Palestine, State of",35.22,59.3,61.97,68.07,61.53,62.85,61.25,0.16
99,"Italy, San Marino and the Holy See",426.42,454.72,493.49,354.02,295.87,332.77,305.49,0.78
100,Jamaica,7.67,10.21,10.61,7.07,5.89,6.37,6.86,0.02
101,Japan,1166.82,1248.81,1283.02,1235.42,1072.17,1009.98,944.76,2.42
102,Jordan,10.07,16.47,20.32,25.63,21.52,22.34,23.58,0.06
103,Kazakhstan,248.63,132.22,187.59,205.39,224.73,240.22,239.87,0.61
104,Kenya,6.47,8.91,9.02,17.74,19.21,21.39,21.73,0.06
105,Kiribati,0.02,0.03,0.06,0.06,0.09,0.09,0.1,0.0
106,Kuwait,32.41,54.48,75.43,94.69,98.61,109.4,111.63,0.29
107,Kyrgyzstan,23.66,4.8,5.61,10.32,9.31,10.31,10.46,0.03
108,Laos,0.26,0.93,1.3,8.93,19.44,24.55,26.02,0.07
109,Latvia,19.62,7.23,8.03,7.65,7.22,6.66,6.55,0.02
110,Lebanon,5.97,15.31,16.57,26.9,21.82,16.87,17.33,0.04
111,Lesotho,0.11,0.35,0.41,0.59,0.78,0.85,0.88,0.0
112,Liberia,0.37,0.4,0.68,1.22,1.55,1.68,1.64,0.0
113,Libya,32.64,49.28,57.72,54.69,45.82,57.05,61.26,0.16
114,Lithuania,35.12,11.66,13.96,13.66,14.25,13.15,13.11,0.03
115,Luxembourg,11.98,8.8,12.11,9.31,7.95,7.26,7.01,0.02
116,Macao,0.95,1.48,2.05,2.76,2.87,2.92,3.01,0.01
117,Madagascar,0.91,1.69,1.79,3.42,3.11,3.99,4.1,0.01
118,Malawi,1.54,3.1,3.57,4.9,5.25,5.95,6.45,0.02
119,Malaysia,64.42,130.78,181.15,252.93,253.39,274.34,283.32,0.73
120,Maldives,0.1,0.64,0.68,1.59,2.51,2.78,2.88,0.01
121,Mali,0.32,0.8,0.95,3.5,6.48,6.85,6.66,0.02
122,Malta,2.32,2.13,2.63,1.67,1.62,1.76,1.68,0.0
123,Martinique,0.72,0.67,0.72,1.04,0.78,1.04,1.09,0.0
124,Mauritania,0.71,1.07,1.54,2.74,4.51,4.78,4.65,0.01
125,Mauritius,1.19,2.44,2.98,4.0,3.75,4.05,4.21,0.01
126,Mexico,289.66,396.71,447.29,490.3,427.82,465.94,487.09,1.25
127,Moldova,31.82,6.89,8.33,8.3,8.84,9.46,9.93,0.03
128,Mongolia,13.15,9.04,11.13,18.02,22.51,25.89,28.12,0.07
129,Morocco,22.45,33.56,44.64,61.13,67.57,70.3,69.86,0.18
130,Mozambique,1.16,1.57,2.67,6.46,7.98,10.03,9.74,0.02
131,Myanmar/Burma,4.43,10.04,11.24,19.74,34.71,32.39,33.37,0.09
132,Namibia,1.25,1.95,2.59,4.13,3.88,4.25,4.36,0.01
133,Nepal,1.09,3.42,3.28,7.32,16.46,17.22,17.93,0.05
134,Netherlands,164.87,176.91,182.2,169.42,141.89,132.97,122.87,0.31
135,New Caledonia,1.58,2.18,2.6,4.5,6.46,5.88,6.21,0.02
136,New Zealand,24.88,32.89,36.11,35.32,35.26,34.6,35.8,0.09
137,Nicaragua,1.96,3.77,4.4,5.49,4.73,5.4,5.73,0.01
138,Niger,0.62,0.7,0.8,2.17,2.41,2.91,2.82,0.01
139,Nigeria,75.11,100.3,103.05,117.61,122.13,130.11,127.94,0.33
140,North Korea,131.96,73.81,79.74,32.74,69.08,59.47,64.27,0.16
141,North Macedonia,11.19,9.04,9.66,7.94,7.59,8.38,8.76,0.02
142,Norway,36.31,41.77,43.31,47.95,44.52,44.56,44.07,0.11
143,Oman,16.41,26.32,33.04,79.32,82.2,90.97,93.09,0.24
144,Pakistan,65.62,111.87,133.89,178.25,222.47,218.68,200.51,0.51
145,Palau,2.16,2.12,1.74,1.2,1.28,1.4,1.44,0.0
146,Panama,2.72,5.19,7.1,10.63,9.59,12.0,14.72,0.04
147,Papua New Guinea,2.16,2.95,5.23,5.97,5.96,5.81,5.95,0.02
148,Paraguay,2.18,3.64,3.8,6.64,7.94,8.18,8.25,0.02
149,Peru,20.84,28.98,31.84,54.89,47.52,57.01,58.4,0.15
150,Philippines,42.58,74.25,78.86,113.16,135.8,150.64,161.29,0.41
151,Poland,371.53,313.02,317.08,305.75,296.88,317.29,286.91,0.74
152,Portugal,44.04,64.41,67.99,51.88,40.93,39.5,36.17,0.09
153,Puerto Rico,19.02,25.18,26.31,12.1,12.49,12.63,13.82,0.04
154,Qatar,16.98,31.75,43.56,114.08,115.29,118.73,127.91,0.33
155,Réunion,0.92,2.05,2.37,2.56,2.55,2.56,2.57,0.01
156,Romania,187.75,97.42,104.48,80.29,75.7,75.98,70.77,0.18
157,Russia,2436.26,1681.14,1739.28,1757.06,1828.8,2025.14,2069.5,5.3
158,Rwanda,0.55,0.68,0.74,1.1,1.45,1.62,1.65,0.0
